episode,reward,throughput_Mbps,fairness
820,2.4187,0.01,0.7882
821,2.361,0.01,0.7586
822,2.4314,0.01,0.8157
823,2.3094,0.01,0.7222
824,2.3774,0.01,0.7681
825,2.3343,0.01,0.6903
826,2.4461,0.01,0.8827
827,2.2778,0.01,0.7361
828,2.3511,0.01,0.8054
829,2.3795,0.01,0.7192
830,2.4072,0.01,0.8109
831,2.3943,0.01,0.8259
832,2.3754,0.01,0.8068
833,2.3709,0.01,0.744
834,2.3469,0.01,0.8083
835,2.3599,0.01,0.8589
836,2.3955,0.01,0.8192
837,2.4144,0.01,0.8224
838,2.3333,0.01,0.8086
839,2.4386,0.01,0.8611
840,2.3865,0.01,0.812
841,2.3294,0.01,0.767
842,2.3775,0.01,0.8396
843,2.3922,0.01,0.7484
844,2.3804,0.01,0.8027
845,2.3795,0.01,0.8491
846,2.4878,0.01,0.7666
847,2.4272,0.01,0.821
848,2.4264,0.01,0.7845
849,2.4515,0.01,0.7551
850,2.3666,0.01,0.7646
851,2.3733,0.01,0.802
852,2.3822,0.01,0.7114
853,2.3172,0.01,0.7914
854,2.4079,0.01,0.8827
855,2.5047,0.01,0.8471
856,2.4827,0.01,0.8125
857,2.3036,0.01,0.6766
858,2.4147,0.01,0.8278
859,2.3172,0.01,0.8161
860,2.3872,0.01,0.7752
861,2.3475,0.01,0.7062
862,2.3099,0.01,0.8441
863,2.4642,0.01,0.8529
864,2.3007,0.01,0.8134
865,2.4037,0.01,0.812
866,2.4239,0.01,0.8297
867,2.35,0.01,0.8079
868,2.4256,0.01,0.8186
869,2.3566,0.01,0.7208
870,2.3694,0.01,0.8891
871,2.3918,0.01,0.7848
872,2.4123,0.01,0.814
873,2.4485,0.01,0.7731
874,2.4307,0.01,0.8413
875,2.3512,0.01,0.7891
876,2.3988,0.01,0.8073
877,2.3595,0.01,0.755
878,2.3596,0.01,0.8029
879,2.3745,0.01,0.8274
880,2.3654,0.01,0.7994
